addr_full,city,map_link,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,shop_name,state,website
Zingster Str. 14,Berlin,https://goo.gl/maps/6orWH1Jp9Bde6AHy9,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.56591325,13.503643319787685,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 30 924 40 55,52.56591325-13.503643319787685,13051,BERLIN HOHENSCHÖNHAUSEN,,https://www.world-of-pizza.de/standorte/berlin-hohenschoenhausen/
Kokenhorststr. 19,Burgwedel,https://goo.gl/maps/jmPLxxwse4zfMD6Y8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.4860094,9.8456834,"{'Mon': '11:00-22:00', 'Tue': '11:00-22:00', 'Wed': '11:00-22:00', 'Thu': '11:00-22:00', 'Fri': '11:00-22:00', 'Sat': '11:00-22:00', 'Sun': '11:00-22:00'}",+49 5139 40 44,52.4860094-9.8456834,30938,GROSSBURGWEDEL,,https://www.world-of-pizza.de/standorte/grossburgwedel/
Magdeburger Allee 106,Erfurt,https://goo.gl/maps/qTKu3Zx85Zyr21WS7,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",50.9954629,11.0261294,"{'Mon': '11:00-00:00', 'Tue': '11:00-00:00', 'Wed': '11:00-00:00', 'Thu': '11:00-00:00', 'Fri': '11:00-00:00', 'Sat': '11:00-00:00', 'Sun': '11:00-00:00'}",+49 361 60 191 555,50.9954629-11.0261294,99086,ERFURT ILVERSGEHOFEN,,https://www.world-of-pizza.de/standorte/erfurt-ilversgehofen/
Prager Straße 31,Leipzig,https://goo.gl/maps/xDaeJYs4eYczYvnK8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.33166945,12.396374792486737,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 341 26 89 89 8,51.33166945-12.396374792486737,04317,LEIPZIG-CITY,,https://www.world-of-pizza.de/standorte/leipzig-city/
Stadtbahnstraße 19A,Hamburg,https://goo.gl/maps/jsQV7JhnhCcFfD7L8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",53.65335805,10.106458269375693,"{'Mon': '11:00-22:00', 'Tue': '11:00-22:00', 'Wed': '11:00-22:00', 'Thu': '11:00-22:00', 'Fri': '11:00-22:00', 'Sat': '11:00-22:00', 'Sun': '11:00-22:00'}",+49 4063746060,53.65335805-10.106458269375693,22393,HAMBURG SASEL,,https://www.world-of-pizza.de/standorte/hamburg-sasel/
Riesaer Straße 101,Leipzig,https://goo.gl/maps/71c39nKYMVVwRzUo6,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.3464533,12.4687054,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 341 252 27 41,51.3464533-12.4687054,04328,LEIPZIG PAUNSDORF,,https://www.world-of-pizza.de/standorte/leipzig-paunsdorf/
Georg-Schumann-Straße 173,Leipzig,https://goo.gl/maps/N2M2SBXeN3MXq3u5A,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.3649552,12.3519581,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 341 91 888 744,51.3649552-12.3519581,04159,LEIPZIG GOHLIS,,https://www.world-of-pizza.de/standorte/leipzig-gohlis/
Alte Holstenstraße 9,Hamburg,https://goo.gl/maps/JJUCS7UahQMwAHxK8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",53.494018350000005,10.207146365813536,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': 'Closed'}",+49 40 790 11 5 11,53.494018350000005-10.207146365813536,21031,HAMBURG BERGEDORF,,https://www.world-of-pizza.de/standorte/hamburg-bergedorf/
Am Steintor 16,Halle (Saale) – City,https://goo.gl/maps/9scmj6ijMJWQuKA4A,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",Not found,Not found,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 345  78 28 38 78,06112-Halle (Saale) – City-Am Steintor 16,06112,HALLE (SAALE) CITY,,https://www.world-of-pizza.de/standorte/halle-saale-city/
Franzstraße 155,Dessau,https://goo.gl/maps/PtAm43wcgQittiy58,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.8251806,12.2423968,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 340 870 55 11,51.8251806-12.2423968,06842,DESSAU,,https://www.world-of-pizza.de/standorte/dessau/
Hardenbergstraße 6,Cottbus,https://goo.gl/maps/9Lhhhy9NjUcUFTVA8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.7337226,14.3350398,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 355 79 03 03,51.7337226-14.3350398,03050,COTTBUS,,https://www.world-of-pizza.de/standorte/cottbus/
Seydelstraße 18,Berlin,https://goo.gl/maps/gDU5tBAYesuwvY4t9,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.5085928,13.405393696594375,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 30 400 444 74,52.5085928-13.405393696594375,10117,BERLIN MITTE,,https://www.world-of-pizza.de/standorte/berlin-mitte/
Lichterfelder Allee 3,Teltow,https://goo.gl/maps/dcy5w3e8ri3tRM8T9,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.401073049999994,13.269913456545222,"{'Mon': '11:00-22:00', 'Tue': '11:00-22:00', 'Wed': '11:00-22:00', 'Thu': '11:00-22:00', 'Fri': '11:00-22:00', 'Sat': '11:00-22:00', 'Sun': '11:00-22:00'}",+49 3328 352 60 60,52.401073049999994-13.269913456545222,15413,TELTOW,,https://www.world-of-pizza.de/standorte/teltow/
Unter den Linden 13,Werder (Havel),https://goo.gl/maps/DpG7zsEXZYbyW1YX9,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.376789099999996,12.936224932645608,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 3327 66 81 81,52.376789099999996-12.936224932645608,14542,WERDER (HAVEL),,https://www.world-of-pizza.de/standorte/werder-havel/
Zeppelinstraße 47 A,Potsdam,https://goo.gl/maps/FS3V592jKdzivFy3A,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.3914693,13.032836410354772,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 331 979 222 77,52.3914693-13.032836410354772,14471,POTSDAM WEST,,https://www.world-of-pizza.de/standorte/potsdam-west/
Ella-Kay-Str. 2a,Berlin,https://goo.gl/maps/tcdtda1or1E98ejT7,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.538467,13.4292917,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 30 42 8000 40,52.538467-13.4292917,10405,BERLIN PRENZLAUER BERG,,https://www.world-of-pizza.de/standorte/berlin-prenzlauer-berg/
Steinstraße 55,Brandenburg an der Havel,https://goo.gl/maps/wYmqaxTu6BZpgykb6,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.40711039999999,12.56068073867595,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 3381 20 999 99,52.40711039999999-12.56068073867595,14776,BRANDENBURG,,https://www.world-of-pizza.de/standorte/brandenburg-neustadt/
Kesselsdorfer Str. 32,Dresden,https://goo.gl/maps/czayuaLb8TQDH642A,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",51.0436266,13.6981269,"{'Mon': '11:00-24:00', 'Tue': '11:00-24:00', 'Wed': '11:00-24:00', 'Thu': '11:00-24:00', 'Fri': '11:00-24:00', 'Sat': '11:00-24:00', 'Sun': '11:00-24:00'}",+49 351 889 58 799,51.0436266-13.6981269,01159,DRESDEN LÖBTAU,,https://www.world-of-pizza.de/standorte/dresden-loebtau/
Friedrich-Ebert-Straße 57,Potsdam,https://goo.gl/maps/qoSWTSaBxQSvNk4F8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.407254249999994,13.05868104965438,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 331 2 700 800,52.407254249999994-13.05868104965438,14469,POTSDAM CITY,,https://www.world-of-pizza.de/standorte/potsdam-city/
Neuendorfer Straße 15,Potsdam,https://goo.gl/maps/zpad2NnvrQgGF7Fr7,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.3772852,13.1295703,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 331 60 06 07 60,52.3772852-13.1295703,14480,POTSDAM AM STERN,,https://www.world-of-pizza.de/standorte/potsdam-am-stern/
Halberstädter Straße 142,Magdeburg,https://goo.gl/maps/quRqU94wiiR1uHAb9,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.109323,11.5978064,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': '11:00-23:00'}",+49 391 61 11 77 33,52.109323-11.5978064,39112,MAGDEBURG SUDENBURG,,https://www.world-of-pizza.de/standorte/magdeburg-sudenburg/
Potsdamer Chaussee 12,Potsdam (Groß Glienicke),https://goo.gl/maps/z5R2iZQetnb4spak9,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.4724078,13.1100671,"{'Mon': '11:00-22:00', 'Tue': '11:00-22:00', 'Wed': '11:00-22:00', 'Thu': '11:00-22:00', 'Fri': '11:00-22:00', 'Sat': '11:00-22:00', 'Sun': '11:00-22:00'}",+49 33201 24 96 95,52.4724078-13.1100671,14476,POTSDAM – GROSS GLIENICKE,,https://www.world-of-pizza.de/standorte/potsdam-gross-glienicke/
Wittenberger Straße 21,Magdeburg,https://goo.gl/maps/H4ERgYSjLhtz6KbT8,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.1424599,11.652208,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': '11:00-23:00'}",+49 391 534 26 700,52.1424599-11.652208,39106,MAGDEBURG ALTE NEUSTADT,,https://www.world-of-pizza.de/standorte/magdeburg-alte-neustadt/
Maxim-Gorki-Straße 38,Magdeburg,https://goo.gl/maps/q8Li1h6ukeaKXct68,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.13101775,11.613322901303373,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': '11:00-23:00'}",+49 391 72 75 789,52.13101775-11.613322901303373,39108,MAGDEBURG STADTFELD,,https://www.world-of-pizza.de/standorte/magdeburg-stadtfeld/
Kantstr. 18,Lübeck,https://goo.gl/maps/gDU5tBAYesuwvY4t9,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",53.86591799999999,10.722350000216423,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 451 47 99 99 88,53.86591799999999-10.722350000216423,23566,LÜBECK – MARLI,,https://www.world-of-pizza.de/standorte/luebeck-marli/
Ernst-Schneller-Straße 6,Ludwigsfelde,https://goo.gl/maps/ptVvgQXesFfUR4hu7,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.3092649,13.2473673,"{'Mon': '11:00-23:00', 'Tue': '11:00-23:00', 'Wed': '11:00-23:00', 'Thu': '11:00-23:00', 'Fri': '11:00-23:00', 'Sat': '11:00-23:00', 'Sun': '11:00-23:00'}",+49 3378 20 99 20,52.3092649-13.2473673,14974,LUDWIGSFELDE,,https://www.world-of-pizza.de/standorte/ludwigsfelde/
Brauhausberg 1,Potsdam,https://goo.gl/maps/1x1aLdJL3NRKgxpJA,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",52.3899464,13.06344223433059,"{'Mon': 'Closed', 'Tue': 'Closed', 'Wed': 'Closed', 'Thu': 'Closed', 'Fri': 'Closed', 'Sat': 'Closed', 'Sun': 'Closed'}",+49 331 2 700 800,52.3899464-13.06344223433059,14473,POTSDAM SÜD,,https://www.world-of-pizza.de/standorte/potsdam-sued/
Vor dem Bardowicker Tore 8,Lüneburg,https://goo.gl/maps/vXULBBx63VEovzxAA,Germany,World of Pizza,"{'brand': 'World of Pizza', 'fascia': 'World of Pizza', 'category': 'Food & Beverage', 'edit_date': '2025-04-01', 'lat_lon_source': 'Third-party'}",53.2592514,10.4096305,"{'Mon': '11:00-22:00', 'Tue': '11:00-22:00', 'Wed': '11:00-22:00', 'Thu': '11:00-22:00', 'Fri': '11:00-22:00', 'Sat': '11:00-22:00', 'Sun': '11:00-22:00'}",+49 4131 70 980 70,53.2592514-10.4096305,21339,LÜNEBURG,,https://www.world-of-pizza.de/standorte/lueneburg/
