addr_full,brand,city,country,extras,lon,lat,name,opening_hours,phone,postalCode,ref,state,website
Γρ. Λαμπράκη  152-154,Public,Πειραιάς,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.648,37.94,Public + Home Πειραιάς,{},210 8181333,18535,7050,Athens,
Λεωφ. Μαραθώνος 149,Public,Γέρακας,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.8633358,38.0076043,Public + home  Γέρακας,{},210 8181333,15344,7504,Athens,
"Λεωφ. Αθηνών 64, Αθήνα 121 36",Public,Περιστέρι,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.6853639,38.0019715,Public + home  Περιστέρι,{},210 8181333,12136,7508,Athens,
Πετρουπόλεως 41,Public,Ίλιον,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.697,38.032,Public + home Ίλιον,{},210 8181333,13121,7512,Athens,
Λέοντος 4 & Ελευθερίας ,Public,Αργυρούπολη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.7431963,37.9132545,Public + home Αργυρούπολη,{},210 8181333,16452,7503,Athens,
Λεωφ. Κνωσού 172,Public,Ηράκλειο Public + home,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",25.145,35.318,Public + home Ηράκλειο,{},,71409,7513,Other,
Πυρσινέλλα 4 &  Γ. Μελανίδη,Public,Ιωάννινα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",20.851,39.663,Public + home Ιωάννινα,{},210 8181333,45221,7060,Other,
Fashion City Outlet,Public,Λάρισα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.4422897,39.6064188,Public + home Λάρισα,{},210 8181333,41335,7505,Other,
Λεωφ. Κηφισίας 49 ,Public,Μαρούσι,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.7972829,38.0368649,Public + home Μαρούσι,{},210 8181333,15123,7506,Athens,
Ακτή Δυμαίων 17,Public,Πάτρα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",21.726,38.238,Public + home Πάτρα,{},210 8181333,26221 ,7507,Other,
Ποσειδώνος 30,Public,Θεσσαλονίκη,,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.97,40.579,Public + home Πυλαία Ποσειδώνος ,{},210 8181333, 55535,7509,Thessaloniki,
Λεωφ. Κηφισού 161 Αγ. Ι.Ρέντης,Public,Αγ. Ι. Ρέντης,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.675,37.975,Public + home Ρέντης ,{},210 8181333,18233,7501,Athens,
7ο χλμ. Εθνικής Οδού Ρόδου – Λίνδου,Public,Ρόδος Public + home,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",28.2008,36.3999,Public + home Ρόδος,{},210 8181333,85150,7511,Other,
Αυστραλίας 84-86  Νέα Μαρίνα,Public,Ρόδος,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",28.237,36.437,Public + home Ρόδος - Νέα Μαρίνα,{},2241025444,85100,7094,Other,
Νέα Δυτική Είσοδος Κωλέττη,Public,Θεσσαλονίκη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.925,40.647,Public + home Σταθμός,{},210 8181333,54627,7510,Thessaloniki,
Λαγκαδά  341/Μίκη Θεοδωράκη 341,Public,Θεσσαλονίκη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.936,40.675,Public + home Σταυρούπολη,{},210 8181333,56430 ,7247,Thessaloniki,
Λεωφ. Ανδρέα Συγγρού  340,Public,Καλλιθέα ,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.701,37.945,Public + home Συγγρού,{},210 8181333,17673,7248,Athens,
Λεωφόρος Βουλιαγμένης 276,Public,Άγιος Δημήτριος,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.739,37.939,Public Athens Metro Mall,{},,17343,7085,Athens,
Λεωφόρος Κηφισίας 37Α,Public,Μαρούσι,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.7938297,38.0339043,Public GoldenHall,{},,15123,7234,Athens,
Λεωφ. Κηφισού 161 Αγ. Ι.Ρέντης,Public,Αγ. Ι. Ρέντης,,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.6749054,37.9753512,Public Outlet Ρέντης,{},,18233,,Athens,
Ανδρέα Παπανδρέου  35,Public,Μαρούσι,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.79,38.045,Public The Mall Athens,{},,15122,7075,Athens,
Λεωφόρος Μεσογείων  402,Public,Αγία Παρασκευή,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.819,38.013,Public Αγία Παρασκευή,{},2106003118,15342,7090,Athens,
προσβάσιμο μόνο σε όσους ταξιδεύουν,Public,Σπάτα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.948,37.936,Public Αεροδρόμιο Ελ. Βενιζέλος,{},2103533625 ,19004,7244,Athens,
Λεωφόρος Δημοκρατίας 210,Public,Αλεξανδρούπολη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",25.877,40.846,Public Αλεξανδρούπολη,{},2551023251,68100,7236,Other,
Ογλ 28 & Ι. Κονταράτου 9,Public,Βόλος,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.951,39.36,Public Βόλος,{},2421022904,38221,7020,Other,
Σ. Καράγιωργα 4 & Λαζαράκη,Public,Γλυφάδα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.745,37.866,Public Γλυφάδα,{},2108984300,16675,7080,Athens,
Εθνικής Αμύνης 13,Public,Δράμα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",24.145,41.149,Public Δράμα,{},2521038622,66100,7238,Other,
Ούλωφ Πάλμε 44,Public,Ζωγράφου,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.763,37.979,Public Ζωγράφου,{},2107777611,15771,7222,Athens,
Δαιδάλου 15,Public,Ηράκλειο Κρήτης,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",25.134,35.339,Public Ηράκλειο Κρήτης,{},2810301850,71202,7232,Other,
Ευγενίου Βουλγάρεως  82,Public,Κέρκυρα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",19.921,39.623,Public Κέρκυρα,{},2661080362,49100,7028,Other,
Ομόνοιας  50,Public,Καβάλα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",24.413,40.937,Public Καβάλα,{},2510620477,65302,7230,Other,
Αριστομένους  16,Public,Καλαμάτα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.11,37.042,Public Καλαμάτα,{},2721080921,24100,7024,Other,
Ανδρούτσου & Ερμού  5,Public,Κατερίνη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.504,40.271,Public Κατερίνη,{},2351046908,60100,7208,Other,
Ειρήνης 5 &  Δρίζη,Public,Κοζάνη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",21.787,40.301,Public Κοζάνη,{},2461050091,50100,7220,Other,
Αγ.Γεωργίου  3,Public,Κομοτηνή,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",25.403,41.117,Public Κομοτηνή,{},2531083600,69100,7233,Other,
Πλατεία Ελευθερίας  10,Public,Κορυδαλλός,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.651,37.98,Public Κορυδαλλός,{},2104966983,18120,7231,Athens,
Δαμασκηνού  45,Public,Κόρινθος,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.932,37.94,Public Κόρινθος,{},2741074340,20100,7226,Other,
Κούμα  6,Public,Λάρισα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.416,39.638,Public Λάρισα,{},2410259699,41222,7242,Other,
Πλατεία Πάρκου  11-13,Public,Λαμία,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.433,38.899,Public Λαμία,{},2231030022,35100,7229,Other,
Αρχιπελάγους &  Σάμου,Public,Μυτιλήνη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",26.558,39.107,Public Μυτιλήνη,{},2251025101,81100,7237,Other,
Χαριλάου Τρικούπη  123,Public,Νέα Ερυθραία,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.814,38.088,Public ΝέαΕρυθραία,{},2106257550,14563,7016,Athens,
Ελευθερίου Βενιζέλου 45,Public,Αθήνα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.715,37.949,Public ΝέαΣμύρνη,{},2109355969,17123,7056,Athens,
"Δαγκλή & Ελπίδος,  Cosmos Center",Public,Ξάνθη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",24.888,41.138,Public Ξάνθη,{},2541084602,67100,7018,Other,
Κωνσταντινουπόλεως  185,Public,Ορεστιάδα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",26.53,41.501,Public Ορεστιάδα,{},2552021403,68200,7204,Other,
Ερμού 55,Public,Πάτρα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",21.734,38.247,Public Πάτρα,{},2610620112,26221,7008,Other,
Εθνικής Αντιστάσεως  27,Public,Αθήνα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.694,38.016,Public Περιστέρι,{},2105758519,12134,7006,Athens,
Mediterranean Cosmos  ΕΟ Θεσ/νίκης,Public,Θεσσαλονίκη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.993,40.558,Public Πυλαία - Cosmos  ,{},2310472633,57001,7001,Thessaloniki,
Μανωλοπούλου  4,Public,Πύργος,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",21.436,37.673,Public Πύργος,{},2621081818,27100,7240,Other,
Πλατεία  Αγνώστου Στρατιώτη,Public,Ρέθυμνο,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",24.48,35.367,Public Ρέθυμνο,{},2831052020,74100,7243,Other,
Τσαλοπούλου  9,Public,Σέρρες,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.55,41.089,Public Σέρρες,{},2321058533,62122,7241,Other,
Καραγεώργη Σερβίας 1,Public,Αθήνα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.733,37.979,Public Σύνταγμα,{},2108181333,10563,7010,Athens,
Κανούτα 1 &  Βύρωνος,Public,Τρίκαλα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",21.766,39.555,Public Τρίκαλα,{},2431027747,42100,7227,Other,
"Τσιμισκή 24, Μητροπόλεως  33",Public,Θεσσαλονίκη,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",22.941,40.633,Public Τσιμισκή,{},2310227288,54624,7070,Thessaloniki,
Κριεζώτου 14,Public,Χαλκίδα,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",23.593,38.464,Public Χαλκίδα,{},2221079090,34100,7235,Other,
Χατζημιχάλη Γιάνναρη  40-42,Public,Χανιά,Ελλάδα,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",24.018,35.514,Public Χανιά,{},2821076720,73100,7026,Other,
Λεωφόρος Ευρωπαϊκής Ένωσης 5,Public,Λάρνακα,,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",32.463,34.795,Public PCYΛάρνακα2 (Metropolis Mall),{},,6043,7150,Cyprus,
"My Mall, Ζακάκι, Φρανγκλίνου Ρουζβελτ 285",Public,Λεμεσός,,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",32.997,34.652,Public PCYΛεμεσός,{},,3150,7120,Cyprus,
The Mall of Cyprus Βεργίνας 3 Στρόβολος,Public,Λευκωσία,Κύπρος,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",33.371,35.13,Public PCYΛευκωσία1(Mall of Cyprus),{},,2025,7101,Cyprus,
Nicosia Mall Μαδρίτης 2 Λακατάμια,Public,Λευκωσία,Κύπρος,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",33.279,35.135,Public PCYΛευκωσία2 (Nicosia Mall),{},,2306,7110,Cyprus,
Λεωφόρος Τάφοι Βασιλέων 2,Public,Πάφο,Κύπρος,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",32.412,34.761,Public PCYΠάφος,{},,8046,7104,Cyprus,
Λ. Γεωργίου Γουρουνιά (Γρίβα Διγενή) 152,Public,Παραλίμνι,Κύπρος,"{'brand': 'Public', 'fascia': 'Public', 'category': 'Retail', 'edit_date': '20250512', 'lat_lon_source': 'Third Party'}",33.978,35.048,Public PCYΠαραλίμνι,{},,5281,7140,Cyprus,
