addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,ref,postcode,state,website
" Plaza 2412, Las Mañanitas",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",8.1217651,-80.9676583,REY PLAZA LAS AMÉRICAS,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6858,8.1217651--80.9676583,,,https://www.smrey.com/Sucursales
" Urbanizacion Brisas del Golf, Via Domingo Diaz",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",8.420247700000001,-82.37436000548128,REY BRISAS DEL GOLF,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6553,8.420247700000001--82.37436000548128,,,https://www.smrey.com/Sucursales
" Plaza Norsash Avenida Brisas del Golf Norte, corredor Nortte calle 7 occidente, Rotonda Paseo del Norte.",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY BRISAS NORTE,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6674-9864,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Centro Comercial Mis Provincias Milla 7, Via Boyd Roosevelt.",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY MILLA 8,"{'opening_hours': {'Lun': '7:30 - 10:00', 'Mar': '7:30 - 10:00', 'Mié': '7:30 - 10:00', 'Jue': '7:30 - 10:00', 'Vie': '7:30 - 10:00', 'Sáb': '7:30 - 10:00', 'Dom': '7:30 - 10:00'}}", 6982-6775,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Vía Costanera y Avenida La Rambla, Plaza Versalles",Rey,PANAMA NORTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY VERSALLES,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6732,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
 Corregimiento Pueblo Nuevo Ave. 12 de Octubre,Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY 12 DE OCTUBRE,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6525,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
 Entre Calle 75 y 76 San Francisco,Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY CALLE 50,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6702,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Urb. Costa del Este, entre la calle ave. Punta del este y costa del sol, edifi. Comercial Rey",Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.01595965,-79.46838449872232,REY COSTA DEL ESTE,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6372-6458,9.01595965--79.46838449872232,,,https://www.smrey.com/Sucursales
" Santa Elena, P.H, Centro Comercil Plaza Agora Local 3",Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY CHANIS,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6349-1070,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" parque Lefevre, urbanización Via España, Calle Vía España entre la intersección con la calle del Rio Abajo, Edf. PH Parque Lefebre 75, local Nº 1",Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.0103266,-79.4844776,REY PARQUE LEFEVRE,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6349-9675,9.0103266--79.4844776,,,https://www.smrey.com/Sucursales
" Santa Maria, calle Boulevar oeste y corredor sur, edificio PH Sanata Maria Bussines Distric ( Chanis Final, Rotonda de entrada a corredor Sur)",Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",-29.6860512,-53.8069214,REY SANTA MARIA,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6349-7439,-29.6860512--53.8069214,,,https://www.smrey.com/Sucursales
" Vía Ricardo J. Alfaro, Centro Comercial el Dorado, Corregimiento de Betania",Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY DORADO,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6982-6758,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Plaza Villa Local 12, Avenida Domingo Díaz",Rey,PANAMÁ ESTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY VILLA LUCRE,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6982-6853,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Calle Gerardo Ortega, Via España - frente Plaza Concordia",Rey,REGIÓN PANAMÁ CENTRO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",39.6594817,-6.821092,REY VÍA ESPAÑA,"{'opening_hours': {'Lun': '6:00 - 10:30', 'Mar': '6:00 - 10:30', 'Mié': '6:00 - 10:30', 'Jue': '6:00 - 10:30', 'Vie': '6:00 - 10:30', 'Sáb': '6:00 - 10:30', 'Dom': '6:00 - 10:30'}}", 6982-6847,39.6594817--6.821092,,,https://www.smrey.com/Sucursales
" Plaza Centennial, Vía Centenario",Rey,REGIÓN PANAMÁ CENTRO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY CENTENIAL,"{'opening_hours': {'Lun': '7:00 - 10:30', 'Mar': '7:00 - 10:30', 'Mié': '7:00 - 10:30', 'Jue': '7:00 - 10:30', 'Vie': '7:00 - 10:30', 'Sáb': '7:00 - 10:30', 'Dom': '7:00 - 10:30'}}", 6982-6587,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Urbanización, Calle Demetrio Korsi, Edificio Paseo Albrook Apto/ Local 104",Rey,REGIÓN PANAMÁ CENTRO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY PASEO ALBROOK,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6982-6540,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Casco Antiguo, Edificio P.H. Benedetti Hnos.",Rey,REGIÓN PANAMÁ CENTRO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY CASCO VIEJO,{}, 6983-0742,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Bella Vista calle 42 Este 32, Panamá",Rey,REGIÓN PANAMÁ CENTRO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",-22.1231581,-56.5133016,REY BELLA VISTA,"{'opening_hours': {'Lun': '6:00 - 10:00', 'Mar': '6:00 - 10:00', 'Mié': '6:00 - 10:00', 'Jue': '6:00 - 10:00', 'Vie': '6:00 - 10:00', 'Sáb': '6:00 - 10:00', 'Dom': '6:00 - 10:00'}}", ,-22.1231581--56.5133016,,,https://www.smrey.com/Sucursales
 PH 4 Altos avenida Miguel Waker,Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY 4 ALTOS,"{'opening_hours': {'Lun': '6:00 - 10:00', 'Mar': '6:00 - 10:00', 'Mié': '6:00 - 10:00', 'Jue': '6:00 - 10:00', 'Vie': '6:00 - 10:00', 'Sáb': '6:00 - 10:00', 'Dom': '6:00 - 10:00'}}", 6982-6745,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Calle 13 Domingo Diaz y Federico Boyd, en la recta a la zona libre",Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",40.4234289,-3.6888894,REY CALLE 13,"{'opening_hours': {'Lun': '6:00 - 10:00', 'Mar': '6:00 - 10:00', 'Mié': '6:00 - 10:00', 'Jue': '6:00 - 10:00', 'Vie': '6:00 - 10:00', 'Sáb': '6:00 - 10:00', 'Dom': '6:00 - 10:00'}}", 6982-6697,40.4234289--3.6888894,,,https://www.smrey.com/Sucursales
" Paseo centenario, calle 7 avenida central",Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY CALLE 7,"{'opening_hours': {'Lun': '6:00 - 10:00', 'Mar': '6:00 - 10:00', 'Mié': '6:00 - 10:00', 'Jue': '6:00 - 10:00', 'Vie': '6:00 - 10:00', 'Sáb': '6:00 - 10:00', 'Dom': '6:00 - 10:00'}}", 6982-6711,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Sabanitas, Colon, Avenida Roosevelt , Vía principal hacia Portobelo.",Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY SABANITAS,"{'opening_hours': {'Lun': '6:00 - 10:00', 'Mar': '6:00 - 10:00', 'Mié': '6:00 - 10:00', 'Jue': '6:00 - 10:00', 'Vie': '6:00 - 10:00', 'Sáb': '6:00 - 10:00', 'Dom': '6:00 - 10:00'}}", 6982-6799,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" EL Valle Coclé, Calle Principal plaza Paseo Del Valle",Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",20.5253698,-103.3390765,REY PASEO DEL VALLE,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6983-8965,20.5253698--103.3390765,,,https://www.smrey.com/Sucursales
 Rey Paseo Arraijan calle vieja frente a Malambo,Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY PASEO ARRAIJAN,"{'opening_hours': {'Lun': '6:30 - 10:00', 'Mar': '6:30 - 10:00', 'Mié': '6:30 - 10:00', 'Jue': '6:30 - 10:00', 'Vie': '6:30 - 10:00', 'Sáb': '6:30 - 10:00', 'Dom': '6:30 - 10:00'}}", 6349-7326,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
 La chorrera barrio bolivar,Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",8.877971800000001,-79.78175680874728,REY CHORRERA,"{'opening_hours': {'Lun': '6:00 - 10:30', 'Mar': '6:00 - 10:30', 'Mié': '6:00 - 10:30', 'Jue': '6:00 - 10:30', 'Vie': '6:00 - 10:30', 'Sáb': '6:00 - 10:30', 'Dom': '6:00 - 10:30'}}", 6982-6727,8.877971800000001--79.78175680874728,,,https://www.smrey.com/Sucursales
" Vía Panamericana corregimiento de Vista alegre, Distrito de Arraijan.",Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",-27.368619,-53.491876,REY VISTA ALEGRE,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6833,-27.368619--53.491876,,,https://www.smrey.com/Sucursales
" Chorrera, P.H. Boulevard Costa Verde",Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY COSTA VERDE,"{'opening_hours': {'Lun': '6:30 - 11:00', 'Mar': '6:30 - 11:00', 'Mié': '6:30 - 11:00', 'Jue': '6:30 - 11:00', 'Vie': '6:30 - 11:00', 'Sáb': '6:30 - 11:00', 'Dom': '6:30 - 11:00'}}", 6982-0619,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
 Vía Interamericana Calle Principal Plaza Corowall,Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY CORONADO,{}, 6982-6742,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Via Interamericana, Plaza Boulevar Penonomé",Rey,REGIÓN OESTE -ATLANTICO,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY PENONOME,"{'opening_hours': {'Lun': '7:00 - 10:00', 'Mar': '7:00 - 10:00', 'Mié': '7:00 - 10:00', 'Jue': '7:00 - 10:00', 'Vie': '7:00 - 10:00', 'Sáb': '7:00 - 10:00', 'Dom': '7:00 - 10:00'}}", 6349-1606,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Urbanización Via Panamericana, Plaza Terronal, corregimiento de David [cabecera), Distrito de David, Chiriqui",Rey,REGIÓN OCCIDENTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY DAVID,"{'opening_hours': {'Lun': '6:30 - 10:30', 'Mar': '6:30 - 10:30', 'Mié': '6:30 - 10:30', 'Jue': '6:30 - 10:30', 'Vie': '6:30 - 10:30', 'Sáb': '6:30 - 10:30', 'Dom': '6:30 - 10:30'}}", 6982-6750,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
" Santiago, Frente a Plaza Banconal, Calle Vía Interamericana - Edificio P.H. Boulevard Santiago - Apto. Local #5",Rey,REGIÓN OCCIDENTE,Panama,"{'brand': 'Rey', 'fascia': 'Rey', 'category': 'Supermarket', 'edit_date': '2025-04-10', 'lat_lon_source': 'Third Party'}",9.03103835,-79.5187159177752,REY SANTIAGO,"{'opening_hours': {'Lun': '7:00 - 10:00', 'Mar': '7:00 - 10:00', 'Mié': '7:00 - 10:00', 'Jue': '7:00 - 10:00', 'Vie': '7:00 - 10:00', 'Sáb': '7:00 - 10:00', 'Dom': '7:00 - 10:00'}}", 6983-3192,9.03103835--79.5187159177752,,,https://www.smrey.com/Sucursales
