area,sub_area,shop_id,shop_name_en,url_param,link_url,address_en,description_en,tel,image_url,hours,services,latitude,longitude
Tokyo,Harajuku,1,BEAMS HARAJUKU,h,/global/shop/h/,"1F/2F, 3-24-7 Jingumae, Shibuya-ku, Tokyo","BEAMS HARAJUKU, the original BEAMS shop, has been the flagship shop for men's fashion and lifestyles since 1976.",03 3470 3947,//cdn-cms.beams.co.jp/cdn/cms/shop/1/list_ObBCuI.jpg,"12:00 - 20:00 (Mon〜Fri) / 11:00 - 20:00(Sat, Sun, Holiday)","Tax-freeShop, UnionPay, ALIPAY",35.67123,139.707668
Rest of Asia,Bangkok,159,BEAMS BANGKOK PARAGON,bangkok_paragon,/global/shop/bangkok_paragon/,"2F Paragon Department Store, 991/1 Rama I Rd., Pathumwan, Pathumwan Bangkok 10330, Thailand","BEAMS BANGKOK PARAGON is a concept shop that embodies the BEAMS aesthetic through a selection of mostly original men's and women's casual wear, accessories and other merchandise.",+662 610 7752,//cdn-cms.beams.co.jp/cdn/cms/shop/159/list_3QMFXg.jpg,10:00 - 22:00,,13.747908,100.534962
Rest of Asia,Bangkok,157,BEAMS BANGKOK,bangkok,/global/shop/bangkok/,"MA-01 MF EM Galleria Floor, The Emsphere Shopping Complex, Bangkok, Thailand","With a focus on 6 levels of original products characteristic of BEAMS, we have selected a range of men's and women's casual wear and accessories. BEAMS will continue to spread its belief in enjoying fashion and having a fulfilling life in the new lifestyles of the region.",+662 129 6053,//cdn-cms.beams.co.jp/cdn/cms/shop/157/list_c8I9FF.jpg,10:00 - 22:00,,13.73234,100.56680
Rest of Asia,Taiwan,241,BEAMS SHIN KONG MITSUKOSHI DIAMOND TOWERS,diamond_towers,/global/shop/diamond_towers/,"3F, No. 268, Sec. 3, Zhongxiao E. Rd., Da’an Dist., Taipei City","BEAMS introduce a formal wear concept store in Taiwan for the first time, offering a range of contemporary and elegant sub-brands, including ＜BEAMS F＞, ＜Brilla per il gusto＞ ＜International Gallery BEAMS＞＜Demi-Luxe BEAMS＞ and ＜AK+1＞These sub-brands provide a fresh and diverse selection of men's and women's clothing styles.",02 2778 2232,//cdn-cms.beams.co.jp/cdn/cms/shop/241/list_UCyAN7.jpg,11:00 - 21:30（⽇ - 木）／ 11:00 - 22:00（金 - ⼟・祝祭⽇前⽇）,,25.04148853041179,121.54212837089123
Rest of Asia,Taiwan,237,BEAMS LaLaport Taichung,lalaport_taichung,/global/shop/lalaport_taichung/,"Taichung City, East District, Jinde Rd, 600號2樓","The design concept is inspired by European marketplaces. The surrounding red brick represents pedestrian walkways, and the diverse range of products are showcased in the central cement area which radiates outward from the the Lush tree at the heart of it all. From Childrenswear, outdoor gears to lifestyle essentials and pet supplies, our store offers a wide variety of products to cater to different lifestyles.",+886 4 2215 3029,//cdn-cms.beams.co.jp/cdn/cms/shop/237/list_6yBs1O.jpg,11:00 - 22:00,,24.135713,120.692561
Rest of Asia,Taiwan,236,BEAMS Eslite Spectrum Nanxi,eslite_spectrum_nanxi,/global/shop/eslite_spectrum_nanxi/,"Taipei City, Zhongshan District, Nanjing W Rd, 14號, Eslite Spectrum Nanxi, 1樓","Providing original products for both Menswear and Womenswear, as well as a selections of fashion, accessories, and lifestyle goods sourced from Japan and overseas. Embodying the fashion trends from Tokyo and ""HAPPY"" lifestyle proposed by BEAMS.",+886 2 2723 2818,//cdn-cms.beams.co.jp/cdn/cms/shop/236/list_zlqv6X.jpg,11:00 - 22:00,,25.052137,121.520671
Rest of Asia,Taiwan,221,BEAMS OUTLET TAICHUNG,outlet_taichung,/global/shop/outlet_taichung/,"No. 168, Section 10, Taiwan Blvd, Wuqi District, Taichung City","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",+886 4 2656 4138,//cdn-cms.beams.co.jp/cdn/cms/shop/221/list_zFtUhp.jpg,"11:00 - 21:30（Sun - Fri）／10:30 - 21:30（Sat, Sun, Public Holidays）",,24.2593129,120.51867559
Rest of Asia,Taiwan,220,BEAMS TAICHUNG MITSUKOSHI,taichung,/global/shop/taichung/,"No. 301, Section 3, Taiwan Blvd, Xitun District, Taichung City","A concept shop that embodies the BEAMS aesthetic through a selection of mostly original men's and women's casual wear, children's apparel, accessories, art and other merchandise.",+886 4 2251 6010,//cdn-cms.beams.co.jp/cdn/cms/shop/220/list_Ekvetd.jpg,"11:00 - 22:00（Sun - Fri）／ 10:30 - 22:00（Sat, Sun, Public Holidays）",,24.16526,120.64371
Rest of Asia,Taiwan,187,BEAMS Breeze NAN SHAN,breeze_man_shan_atre,/global/shop/breeze_man_shan_atre/,"3F, No. 17, Songzhi Rd., Xinyi Dist., Taipei City 110, Taiwan","On the 3rd floor of ""Breeze NanShan Atre"" inside the ""Breeze NanShan"" complex. The line-up includes casual original items for men and women, clothing and accessories selected from inside and outside of Japan, and household goods. We provide fashion from Tokyo and a happy lifestyle as imagined by BEAMS.",+886 2 2723 6584,//cdn-cms.beams.co.jp/cdn/cms/shop/187/list_4oqcmf.jpg,"11:00 - 22:00 (Thu - Sat,Before holidays), 11:00 - 21:30（Sun - Wed）",,25.034484,121.566862
Rest of Asia,Taiwan,155,BEAMS OUTLET LINKOU,outlet_linkou,/global/shop/outlet_linkou/,"No. 356, Section 1, Wenhua 3rd Rd, Linkou District, New Taipei City, Taiwan","We are located in the row of Japanese specialty boutiques on the first floor of ""Mitsui Outlet Park Taiwan Linkou,"" the biggest outlet mall in northern Taiwan. In addition to our lineup of  casual men's and women's clothing, we handle accessories, kids' items, business wear, and many other items.",+886 2 2600 3783,//cdn-cms.beams.co.jp/cdn/cms/shop/155/list_NpnVkH.jpg,11:00 - 21:30（Sunday-Thursday）／11:00 - 22:00（Friday～Saturday）,,25.070083,121.365562
Rest of Asia,Taiwan,152,BEAMS TAIPEI,taipei,/global/shop/taipei/,"No.340, Fujin Street, Taipei City, Taiwan","BEAMS TAIPEI is a concept shop that embodies the BEAMS aesthetic through a selection of mostly original men's and women's casual wear, children's apparel, accessories, art and other merchandise.",+886 2 2767 2716,//cdn-cms.beams.co.jp/cdn/cms/shop/152/list_IdZ4Z5.jpg,"12:00 - 20:30 (Mon–Fri), 11:30 - 20:30 (Sat, Sun, Public Holidays)",,25.060390,121.557106
Rest of Asia,Hong Kong,182,BEAMS HONG KONG HYSAN PLACE,hongkong_hysan_place,/global/shop/hongkong_hysan_place/,"Shop 626-627 , 6F , Hysan Place , Causeway Bay , Hong Kong, China","On the sixth-floor of Hysan Place shopping centre in Causeway Bay, Hong Kong.You can feel 'Tokyo casual style' through original and selected items from men's casual, women's casual and accessories.",+852-2759-3282,//cdn-cms.beams.co.jp/cdn/cms/shop/182/list_S3mbD0.jpg,"Sunday - Thursday, 10:00 - 22:30 / Friday, Saturday & The day before Holidays, 10:00 - 23:00",,22.2797977,114.183731
Rest of Asia,Hong Kong,146,BEAMS HONG KONG THE ONE,hongkong_theone,/global/shop/hongkong_theone/,"Shop UG207, The ONE, Tsim Sha Tsui, Kowloon, Hong Kong, China","BEAMS HONG KONG THE ONE is located within a mall ""THE ONE"" in Kowloon that has a direct access to Tsim Sha Tsui train station.",+852 2677 0230,//cdn-cms.beams.co.jp/cdn/cms/shop/146/list_S6dON7.jpg,11:00 - 22:30,,22.299558,114.172126
Rest of Asia,Hong Kong,143,BEAMS HONG KONG FESTIVAL WALK,hongkong_festivalwalk,/global/shop/hongkong_festivalwalk/,"LG1-31, Festival Walk, Kowloon Tong, Kowloon, Hong Kong, China",B1 floor of the 'Festival Walk' shopping mall in the Kowloon Tong area. Offering women's Tokyo casual style where you can freely enjoy fashion based around Ray Beams original products. ,＋852 2265 7050,//cdn-cms.beams.co.jp/cdn/cms/shop/143/list_q4uueh.jpg,11:00 - 22:00,,22.337233,114.174423
Rest of Asia,Shenzhen,250,BEAMS SHENZHEN The MIX C,shenzhen,/global/shop/shenzhen/,"1881 Baoan South Road, Luohu District, Shenzhen, Guangdong, China",　　,+86 10 6416 2087,//cdn-cms.beams.co.jp/cdn/cms/shop/250/list_pChKNz.jpg,10:00 - 22:00,,22.53982,114.11132
Rest of Asia,Wuhan,253,BEAMS WUHAN K11,wuhan,/global/shop/wuhan/,"No.628 Jiefang Avenue, Qiaokou District, Wuhan City, China",　　,+86 571 8656 0160,//cdn-cms.beams.co.jp/cdn/cms/shop/253/list_gwZERe.jpg,10:00 - 22:00,,30.578757,114.264398
Rest of Asia,Chengdu,252,BEAMS CHENGDU THE MIX C,chengdu,/global/shop/chengdu/,"No. 98, Shuangcheng 2nd Road, Chenghua District, Chengdu (Block 3, 4), Chengdu City D131", 　　   ,+86 28 8413 1989,//cdn-cms.beams.co.jp/cdn/cms/shop/252/list_d45v8A.jpg,10:00 - 22:00（Mon〜Thu・Sun）／10:00 - 22:30（Fri・Sat）,,30.65017,104.11503
Rest of Asia,Hangzhou,254,BEAMS HANGZHOU KERRY CENTRE,hangzhou,/global/shop/hangzhou/,"353 Yan'an Rd, Xiacheng District, Hangzhou, Zhejiang, China",　　  ,+86 571 8656 0160,//cdn-cms.beams.co.jp/cdn/cms/shop/254/list_7Utl0q.jpg,10:00 - 22:00,,30.260451,120.163116
Rest of Asia,Shanghai,251,BEAMS SHANGHAI XINTIANDI PLAZA,shanghai,/global/shop/shanghai/,"1-01&1-02, Level1, Xintiandi Plaza 333 Huaihai Middle Road, Huangpu, Shanghai , China",　　,+86 21 6373 0035,//cdn-cms.beams.co.jp/cdn/cms/shop/251/list_OOrKln.jpg,10:00 - 22:00,,31.21899,121.474850
Rest of Asia,Beijing,249,BEAMS BEIJING TAIKOO LI SANLITUN ,beijing,/global/shop/beijing/,"Taikoo Li Sanlitun South S1-15&23 No.19 Sanlitun Road Chaoyang District Beijing, China",　　,+86 10 6416 2087,//cdn-cms.beams.co.jp/cdn/cms/shop/249/list_wZiF53.jpg,10:00 - 22:00,,39.935363,116.455499
Chugoku / Shikoku / Kyushu / Okinawa,Okinawa,25,BEAMS OUTLET OKINAWA,oko,/global/shop/oko/,"OKINAWA OUTLET MALL ASHIBINAA , 1-188 Toyosaki, Tomigusuku-shi, Okinawa","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",098 891 7733,//cdn-cms.beams.co.jp/cdn/cms/shop/25/list_ApFr6K.jpg,10:00 - 20:00,"Tax-freeShop, UnionPay, ALIPAY",26.15939592,127.6567769
Chugoku / Shikoku / Kyushu / Okinawa,Kagoshima,118,BEAMS KAGOSHIMA,kgb,/global/shop/kgb/,"AMU PLAZA Kagoshima 1F, 1-1 Cyuo-cho, Kagoshima-shi, Kagoshima","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",099 812 6266 （Men's）/ 099 812 6267 （Women's）,//cdn-cms.beams.co.jp/cdn/cms/shop/118/list_epgpOL.jpg,10:00 - 20:00,"Tax-freeShop, UnionPay",31.584602,130.542606
Chugoku / Shikoku / Kyushu / Okinawa,Miyazaki,214,BEAMS MIYAZAKI,myz,/global/shop/myz/,"Amyupurazamiyazaki 1F 2-2-22 Oimatsu, Miyazaki-shi Miyazaki","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",0985-41-6761,//cdn-cms.beams.co.jp/cdn/cms/shop/214/list_3ZJfjR.jpg,10:00 - 20:00,,31.914888,131.431258
Chugoku / Shikoku / Kyushu / Okinawa,Oita,116,BEAMS OITA,oia,/global/shop/oia/,"AMU PLAZA Oita 1F, 1-14 Kanamemachi, Oita-shi, Oita","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",097 513 2296,//cdn-cms.beams.co.jp/cdn/cms/shop/116/list_89i6uV.jpg,"11:00 - 20:00(Mon-Fri) / 10:00 - 20:00(Sat, Sun, Holiday)","Tax-freeShop, UnionPay",33.233253,131.606100
Chugoku / Shikoku / Kyushu / Okinawa,Kumamoto,115,BEAMS KUMAMOTO,km,/global/shop/km/,"AMU PLAZA KUMAMOTO 1F, 3-15-26 Kasuga, Nishi-ku, Kumamoto-shi Kumamoto","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",096 359 7771 （Women's）／ 096 359 1280 （Men's）,//cdn-cms.beams.co.jp/cdn/cms/shop/115/list_mufp4b.jpg,10:00 - 20:00,"Tax-freeShop, UnionPay",32.7890230,130.68875
Chugoku / Shikoku / Kyushu / Okinawa,Nagasaki,128,B:MING LIFE STORE by BEAMS AMU PLAZA NAGASAKI,nsa,/global/shop/nsa/,"AMU PLAZA NAGASAKI 2F, 1-1 Onoemachi, Nagasaki-shi, Nagasaki","The main product line includes men’s and women’s original casual wear and business formal; additionally, kid’s and baby wear, miscellanea, cosmetics, and beauty supplies form a diverse lineup of goods offering the pleasures of contemporary lifestyles.",095 833 2311,//cdn-cms.beams.co.jp/cdn/cms/shop/128/list_PYQUDp.jpg,10:00 - 20:00,Tax-freeShop,32.751674,129.87089
Chugoku / Shikoku / Kyushu / Okinawa,Nagasaki,113,BEAMS NAGASAKI,ns,/global/shop/ns/,"1F AMU PLAZA Nagasaki New Building, 1-1  Onoue-machi, Nagasaki-shi Nagasaki","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",095-822-6006,//cdn-cms.beams.co.jp/cdn/cms/shop/113/list_3v2FrM.jpg,10:00 - 20:00,,32.75147,129.87035
Chugoku / Shikoku / Kyushu / Okinawa,Saga,23,BEAMS OUTLET TOSU,bto,/global/shop/bto/,"TOSU PREMIUM OUTLETS, 8-1 Yayoigaoka, Tosu-shi, Saga","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",0942 87 7327,//cdn-cms.beams.co.jp/cdn/cms/shop/23/list_UiQWLP.jpg,10:00 - 20:00,"Tax-freeShop, UnionPay, ALIPAY",33.406078,130.512475
Chugoku / Shikoku / Kyushu / Okinawa,Fukuoka,225,BEAMS OUTLET KITAKYUSHU,kko,/global/shop/kko/,"THE OUTLETS KITAKYUSHU, 4-1-1 Higashida, Kitakyushu Yahatahigashi-ku, Fukuoka-shi Fukuoka","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",093 616 7275,//cdn-cms.beams.co.jp/cdn/cms/shop/225/list_lbjoAi.jpg,10:00 - 20:00,Tax-freeShop,33.873961,130.810891
Chugoku / Shikoku / Kyushu / Okinawa,Fukuoka,194,BEAMS GOLF VIORO,fvg,/global/shop/fvg/,"VIORO B1F, 2-10-3 Tenjin, Chuo-ku, Fukuoka-shi, Fukuoka","A store specializing in the BEAMS GOLF produce line, our label providing unique, fashionable and functional BEAMS golf styles.",092 738 6501,//cdn-cms.beams.co.jp/cdn/cms/shop/194/list_sl55aY.jpg,10:00 - 20:00,"Tax-freeShop, UnionPay",33.589715,130.398415
Chugoku / Shikoku / Kyushu / Okinawa,Fukuoka,108,BEAMS FUKUOKA,fkp,/global/shop/fkp/,"Fukuoka PARCO New Bldg. 1-2F, 2-11-1 Tenjin, Chuo-ku, Fukuoka-shi, Fukuoka","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",092 737 2401,//cdn-cms.beams.co.jp/cdn/cms/shop/108/list_zBxswB.jpg,10:00 - 20:30,"Tax-freeShop, UnionPay",33.590877,130.398122
Chugoku / Shikoku / Kyushu / Okinawa,Ehime,104,BEAMS MATSUYAMA,my,/global/shop/my/,"AVA 2F, 3-2-1 Ichiban-cho, Matsuyama-shi, Ehime","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",089 941 0400,//cdn-cms.beams.co.jp/cdn/cms/shop/104/list_UuiHv2.jpg,11:00 - 20:00(Mon- Sat)/11:00 - 19:00(Sun),"Tax-freeShop, UnionPay",33.840793,132.768694
Chugoku / Shikoku / Kyushu / Okinawa,Kagawa,103,BEAMS TAKAMATSU,tm,/global/shop/tm/,"Kotoden Kawaramachi Building 1F/2F, 1-3-1 Tokiwa-cho, Takamatsu-shi, Kagawa","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.","087 837 7919 （Men）／
087 834 5331（Women）",//cdn-cms.beams.co.jp/cdn/cms/shop/103/list_d4JTEt.jpg,10:00 - 20:00,Tax-freeShop,34.338821,134.052439
Chugoku / Shikoku / Kyushu / Okinawa,Shimane,227,BEAMS JAPAN IZUMO,jiz,/global/shop/jiz/,"1346-5 Kitsukiminami, Taisha-cho, Izumo-shi Shimane","This shop is the hub from which BEAMS ""TEAM JAPAN"", a project to curate content across a broad range of categories based on the keyword of ""Japan"", sets new trends. The shop categories such as ""Food"", ""Brand items"", ""Fashion"", ""Collaborations"", ""Culture"", ""Art"", and ""Crafts"". The shop as a whole acts to transmit these various attractive aspects of Japan both nationwide and around the world.
",0853 31 4505,//cdn-cms.beams.co.jp/cdn/cms/shop/227/list_qinSeB.jpg,10:00 - 17:00,UnionPay,35.39333,132.68719
Chugoku / Shikoku / Kyushu / Okinawa,Hiroshima,102,BEAMS HIROSHIMA,hi,/global/shop/hi/,"1F/2F, 3-10 Hon-dori, Naka-ku, Hiroshima-shi Hiroshima","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.","082 544 2961 (Men's)
082 544 2962 (Women's)",//cdn-cms.beams.co.jp/cdn/cms/shop/102/list_u7ASfE.jpg,11:00 - 20:00,"Tax-freeShop, UnionPay",34.39306,132.46016
Chugoku / Shikoku / Kyushu / Okinawa,Okayama,75,BEAMS OKAYAMA,okb,/global/shop/okb/,"CRED Okayama 1F, 1-8-45 Nakasange, Kita-ku, Okayama-shi, Okayama","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",086 235 1722,//cdn-cms.beams.co.jp/cdn/cms/shop/75/list_i5Csvf.jpg,10:00 - 19:30,Tax-freeShop,34.662759,133.926804
Kansai,Hyogo,244,BEAMS JAPAN KOBE,jkb,/global/shop/jkb/,"2F KOBE PORT TOWER, 5-5 Hatobasho, Chuo-ku, Kobe-shi Hyogo","This shop is the hub from which BEAMS ""TEAM JAPAN"", a project to curate content across a broad range of categories based on the keyword of ""Japan"", sets new trends. The shop categories such as ""Food"", ""Brand items"", ""Fashion"", ""Collaborations"", ""Culture"", ""Art"", and ""Crafts"". The shop as a whole acts to transmit these various attractive aspects of Japan both nationwide and around the world.",078 977 7637,//cdn-cms.beams.co.jp/cdn/cms/shop/244/list_khr67v.jpg,10:00 - 20:00,,34.682647,135.186699
Kansai,Hyogo,234,BEAMS HIMEJI,hmj,/global/shop/hmj/,"SANYO DEPARTMENT STORE South Building 1F, 1 Minamimachi, Himeji-shi Hyogo","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.
",079 280 7260,//cdn-cms.beams.co.jp/cdn/cms/shop/234/list_XYyO7K.jpg,10:00 - 19:30,,34.828250,134.689087
Kansai,Hyogo,207,BEAMS GOLF KOBE,bgk,/global/shop/bgk/,"KCS Naniwamachi 1-3F,59-3 Naniwamachi, Kobe Chuo-ku, Hyogo Hyogo","A BEAMS GOLF shop, an original brand that proposes a golf wear style that is both fashionable and functional, and unique to BEAMS. You'll find a full line up of carefully selected imported items, as well as items from collaborations with popular fashion brands.",,//cdn-cms.beams.co.jp/cdn/cms/shop/207/list_0pCkse.jpg,11:00〜20:00,"Tax-freeShop, UnionPay",34.689176,135.192458
Kansai,Osaka,43,BEAMS OUTLET RINKU,bro,/global/shop/bro/,"RINKU PREMIUM OUTLETS, 3-28 Rinku Ourai-minami, Izumisano-shi, Osaka","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",072 464 6436,//cdn-cms.beams.co.jp/cdn/cms/shop/43/list_og0U7j.jpg,10:00 - 20:00,"Tax-freeShop, UnionPay, ALIPAY",34.406669,135.294967
Kansai,Osaka,40,BEAMS OUTLET OSAKA KADOMA,oto,/global/shop/oto/,"MITSUI OUTLET PARK OSAKA KADOMA 2F, 204-3 Matsuoi cho, Kadoma shi Osaka","Daily-use casuals and products to fit the business scene, accessories and miscellaneous goods for all ages.",06 6926 9011,//cdn-cms.beams.co.jp/cdn/cms/shop/40/list_ufQx9u.jpg,10:00 - 21:00,"Tax-freeShop, UnionPay",34.732604,135.582924
Kansai,Osaka,135,B:MING LIFE STORE by BEAMS KUZUHA MALL,kkz,/global/shop/kkz/,"KUZUHA MALL 1F, 15-1 Kuzuhahanazonocho, Hirakata-shi, Osaka","The main product line includes men’s and women’s original casual wear and business formal; additionally, kid’s and baby wear, miscellanea, cosmetics, and beauty supplies form a diverse lineup of goods offering the pleasures of contemporary lifestyles.",072 836 3270,//cdn-cms.beams.co.jp/cdn/cms/shop/135/list_CPbNcJ.jpg,"10:00 - 20:00（Mon- Fri）／10:00 - 21:00（Sat, Sun, Holiday）",Tax-freeShop,34.861847,135.676666
