addr_full,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
"C.C Plaza Mundo Usulutan km 119 Carr. Litoral CA-2 y Ruta Nacional catorce, Usulután, Local 6 y 7",USULUTAN,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.343733560000000,-88.465644330000000,"{'opening_hours': {'Sun': '10:00-21:00', 'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00'}}",,SC448,,Farmacias San Nicolás PLAZA MUNDO USULUTAN,,https://www.farmaciasannicolas.com/sucursales
"COL LAS MERCEDES #13, BLVD DE LOS PROCERES, ENTRE MI BANCO Y LOS CEBOLLINES",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.683354000000000,-89.229217000000000,"{'opening_hours': {'Sun': '09:00-21:00', 'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00'}}",,SC3996,,Farmacias San Nicolás PROCERES EXPRESS,,https://www.farmaciasannicolas.com/sucursales
Calle el Progreso.  Centro Comercial El Rosal,SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.696849000000000,-89.221082000000000,"{'opening_hours': {'Sun': '08:00-19:00', 'Mon': '07:30-21:00', 'Tue': '07:30-21:00', 'Wed': '07:30-21:00', 'Thu': '07:30-21:00', 'Fri': '07:30-21:00', 'Sat': '07:30-21:00'}}",,SC1862,,Farmacias San Nicolás PROGRESO,,https://www.farmaciasannicolas.com/sucursales
"CC. LAS RAMBLAS, LOCAL 3, CARRETERA HACIA CHALCHUAPA, FRENTE A REDONDEL SANTA MARIA, SANTA ANA",SANTA ANA,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.987351000000000,-89.595343000000000,"{'opening_hours': {'Sun': '07:45-21:00', 'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,SC1546,,Farmacias San Nicolás RAMBLAS SANTA ANA,,https://www.farmaciasannicolas.com/sucursales
"CENTRO COMERCIAL LAS RAMBLAS, LOCAL 146, CARRETERA PANAMERICANA, SANTA TECLA",LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.671713000000000,-89.268485000000000,"{'opening_hours': {'Sun': '09:00-21:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-21:00'}}",,SC4531,,Farmacias San Nicolás RAMBLAS SANTA TECLA,,https://www.farmaciasannicolas.com/sucursales
"Km 19 sobre la nueva autopista que conecta al Boulevard Constitución , San Salvador, Local L-K",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.794156000000000,-89.224870000000000,"{'opening_hours': {'Sun': '09:00-21:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-22:00', 'Sat': '09:00-22:00'}}",,SC117,,Farmacias San Nicolás SAN GABRIEL,,https://www.farmaciasannicolas.com/sucursales
CC San Luis Local 1-C.,SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.715743000000000,-89.213731000000000,"{'opening_hours': {'Sun': '09:00-21:00', 'Mon': '07:30-22:00', 'Tue': '07:30-22:00', 'Wed': '07:30-22:00', 'Thu': '07:30-22:00', 'Fri': '07:30-22:00', 'Sat': '07:30-22:00'}}",,SC587,,Farmacias San Nicolás SAN LUIS,,https://www.farmaciasannicolas.com/sucursales
Av. Morazan #15 BIS.,SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.738081000000000,-89.055460000000000,"{'opening_hours': {'Sun': '07:00-17:30', 'Mon': '07:00-19:00', 'Tue': '07:00-19:00', 'Wed': '07:00-19:00', 'Thu': '07:00-19:00', 'Fri': '07:00-19:00', 'Sat': '07:00-19:00'}}",,SC4008,,Farmacias San Nicolás SAN MARTIN,,https://www.farmaciasannicolas.com/sucursales
Av. Roosevelt Sur #212 . San Miguel,SAN MIGUEL,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.476751000000000,-88.184489000000000,"{'opening_hours': {'Sun': '12:00-21:00', 'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,SC671,,Farmacias San Nicolás SAN MIGUEL,,https://www.farmaciasannicolas.com/sucursales
"CALLE QUIÑONES DE OSORIO, BARRIO EL CALVARIO, SAN VICENTE",SAN VICENTE,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.644343850000000,-88.786184790000000,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '07:00-18:00', 'Tue': '07:00-18:00', 'Wed': '07:00-18:00', 'Thu': '07:00-18:00', 'Fri': '07:00-18:00', 'Sat': '07:00-18:00'}}",,SC1555,,Farmacias San Nicolás SAN VICENTE 1,,https://www.farmaciasannicolas.com/sucursales
"2ª AV. SUR, BARRIO SAN FRANCISCO, CASA # 21, SAN VICENTE",SAN VICENTE,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.642301000000000,-88.784245000000000,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '07:45-20:00', 'Tue': '07:45-20:00', 'Wed': '07:45-20:00', 'Thu': '07:45-20:00', 'Fri': '07:45-20:00', 'Sat': '07:45-20:00'}}",,SC645,,Farmacias San Nicolás SAN VICENTE 2,,https://www.farmaciasannicolas.com/sucursales
Av. Independencia y 35 Calle. Pte. Local #1,SANTA ANA,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.978368000000000,-89.560630000000000,"{'opening_hours': {'Sun': '09:00-18:00', 'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:00-21:00'}}",,SC1885,,Farmacias San Nicolás SANTA ANA 1,,https://www.farmaciasannicolas.com/sucursales
Final Boulevard Orden de Malta. y Carretera al Puerto,LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.667472000000000,-89.269997000000000,"{'opening_hours': {'Sun': '00:00-23:59', 'Mon': '00:00-23:59', 'Tue': '00:00-23:59', 'Wed': '00:00-23:59', 'Thu': '00:00-23:59', 'Fri': '00:00-23:59', 'Sat': '00:00-23:59'}}",,SC4527,,Farmacias San Nicolás SANTA ELENA,,https://www.farmaciasannicolas.com/sucursales
"Gasolinera UNO Santa Elena . El Pepeto Sur, Calle llama",LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.661523000000000,-89.249563000000000,"{'opening_hours': {'Sun': '09:00-22:00', 'Mon': '07:45-22:00', 'Tue': '07:45-22:00', 'Wed': '07:45-22:00', 'Thu': '07:45-22:00', 'Fri': '07:45-22:00', 'Sat': '07:45-22:00'}}",,SC1543,,Farmacias San Nicolás SANTA ELENA 2,,https://www.farmaciasannicolas.com/sucursales
9º Cl. Pte. y Cl. Real . Bldv. Monseñor Romero #45 y 46,LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.678455000000000,-89.300505000000000,"{'opening_hours': {'Sun': '08:00-21:00', 'Mon': '07:45-23:00', 'Tue': '07:45-23:00', 'Wed': '07:45-23:00', 'Thu': '07:45-23:00', 'Fri': '07:45-23:00', 'Sat': '07:45-23:00'}}",,SC2505,,Farmacias San Nicolás SANTA ROSA,,https://www.farmaciasannicolas.com/sucursales
"Av. General Larios, Barrio El calvario Santa Rosa de Lima.",LA UNIÓN,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.626136000000000,-87.891891000000000,"{'opening_hours': {'Sun': '07:00-13:00', 'Mon': '07:00-17:00', 'Tue': '07:00-17:00', 'Wed': '07:00-17:00', 'Thu': '07:00-17:00', 'Fri': '07:00-17:00', 'Sat': '07:00-17:00'}}",,SC3477,,Farmacias San Nicolás SANTA ROSA DE LIMA,,https://www.farmaciasannicolas.com/sucursales
2° Calle Pte. #L-1-13.,LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.673112000000000,-89.288982000000000,"{'opening_hours': {'Sun': '08:00-17:00', 'Mon': '07:00-19:00', 'Tue': '07:00-19:00', 'Wed': '07:00-19:00', 'Thu': '07:00-19:00', 'Fri': '07:00-19:00', 'Sat': '07:00-19:00'}}",,SC2859,,Farmacias San Nicolás SANTA TECLA,,https://www.farmaciasannicolas.com/sucursales
"Km 9 1/2 Carretera a Comalapa. En Gasolinera UNO, SS",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.660890000000000,-89.189853000000000,"{'opening_hours': {'Sun': '07:45-21:00', 'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00'}}",,SC1831,,Farmacias San Nicolás SANTORINI,,https://www.farmaciasannicolas.com/sucursales
4° Ave. Sur Calle Obispo. Marroquin # H2-10 Sonsonate,SONSONATE,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.719413000000000,-89.726468000000000,"{'opening_hours': {'Sun': '08:00-13:00', 'Mon': '07:45-18:30', 'Tue': '07:45-18:30', 'Wed': '07:45-18:30', 'Thu': '07:45-18:30', 'Fri': '07:45-18:30', 'Sat': '07:45-18:30'}}",,SC2681,,Farmacias San Nicolás SONSONATE,,https://www.farmaciasannicolas.com/sucursales
Calle Roosevelt Oriente. y 2 Ave Sur # 114,SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.703434000000000,-89.149619000000000,"{'opening_hours': {'Sun': '07:45-17:30', 'Mon': '07:45-19:00', 'Tue': '07:45-19:00', 'Wed': '07:45-19:00', 'Thu': '07:45-19:00', 'Fri': '07:45-19:00', 'Sat': '07:45-18:00'}}",,SC2455,,Farmacias San Nicolás SOYAPANGO CENTRO,,https://www.farmaciasannicolas.com/sucursales
Plaza Soyapango #2  Local . L-11,SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.699656000000000,-89.152217000000000,"{'opening_hours': {'Sun': '08:00-21:00', 'Mon': '07:45-22:00', 'Tue': '07:45-22:00', 'Wed': '07:45-22:00', 'Thu': '07:45-22:00', 'Fri': '07:45-22:00', 'Sat': '07:45-22:00'}}",,SC1166,,Farmacias San Nicolás SOYAPANGO PLAZA,,https://www.farmaciasannicolas.com/sucursales
"Kilómetro 12 y 1/2, carretera . Troncal del Norte",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.791345000000000,-89.175410000000000,"{'opening_hours': {'Sun': '07:45-19:30', 'Mon': '07:45-20:00', 'Tue': '07:45-20:00', 'Wed': '07:45-20:00', 'Thu': '07:45-19:30', 'Fri': '07:45-20:00', 'Sat': '07:45-20:00'}}",,SC259,,Farmacias San Nicolás TRONCAL DEL NORTE,,https://www.farmaciasannicolas.com/sucursales
"Gasolinera UNO Tuscania: Km 17 1/2 Carretería al puerto de la Libertad, Zaragoza, La Libertad",LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.612190000000000,-89.285695000000000,"{'opening_hours': {'Sun': '08:00-20:00', 'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-21:00'}}",,SC4542,,Farmacias San Nicolás TUSCANIA,,https://www.farmaciasannicolas.com/sucursales
"Centro Comercial Altavista, Local C-18, Ilopango, San Salvador",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.716213000000000,-89.097132000000000,"{'opening_hours': {'Sun': '07:45-20:00', 'Mon': '07:45-20:00', 'Tue': '07:45-20:00', 'Wed': '07:45-20:00', 'Thu': '07:45-20:00', 'Fri': '07:45-20:00', 'Sat': '07:45-20:00'}}",,SC4890,,Farmacias San Nicolás UNICENTRO ALTA VISTA,,https://www.farmaciasannicolas.com/sucursales
Km. 24 ½ carretera a Santa Ana.  CC lourdes local 9-i,LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.728344000000000,-89.359606000000000,"{'opening_hours': {'Sun': '08:00-20:30', 'Mon': '08:00-20:30', 'Tue': '08:00-20:30', 'Wed': '08:00-20:30', 'Thu': '08:00-20:30', 'Fri': '08:00-20:30', 'Sat': '08:00-20:30'}}",,SC2790,,Farmacias San Nicolás UNICENTRO LOURDES,,https://www.farmaciasannicolas.com/sucursales
"Calle Zacamil, CC Unicentro  Metropolis, L#9-10, Mejicanos",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.729880000000000,-89.210579000000000,"{'opening_hours': {'Sun': '09:00-19:00', 'Mon': '08:00-20:00', 'Tue': '08:00-20:00', 'Wed': '08:00-20:00', 'Thu': '08:00-20:00', 'Fri': '08:00-20:00', 'Sat': '08:00-20:00'}}",,SC4735,,Farmacias San Nicolás UNICENTRO METROPOLIS,,https://www.farmaciasannicolas.com/sucursales
"Gasolinera UNO: Calle a Tonacatepeque frente a Unicentro Soyapango, Soyapango",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.714785000000000,-89.142209000000000,"{'opening_hours': {'Sun': '07:45-20:00', 'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,SC1259,,Farmacias San Nicolás UNICENTRO SOYAPANGO,,https://www.farmaciasannicolas.com/sucursales
Calle Grimaldi # 14A  Usulutan.,USULUTAN,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.344192000000000,-88.438149000000000,"{'opening_hours': {'Sun': '08:00-13:00', 'Mon': '07:00-19:00', 'Tue': '07:00-19:00', 'Wed': '07:00-19:00', 'Thu': '07:00-19:00', 'Fri': '07:00-19:00', 'Sat': '07:00-19:00'}}",,SC1353,,Farmacias San Nicolás USULUTAN,,https://www.farmaciasannicolas.com/sucursales
"CC. EL ENCUENTRO, VALLE DULCE, LOCAL 11, PROL. BOULEVARD CONSTITUCION Y CALLE A MARIONA",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.785802000000000,-89.195283000000000,"{'opening_hours': {'Sun': '09:00-21:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-21:00'}}",,SC1066,,Farmacias San Nicolás VALLE DULCE,,https://www.farmaciasannicolas.com/sucursales
"PLAZA COMERCIAL ALEMANA PRIMERA ETAPA, LOCAL L-B VERSAILLES, SAN JUAN OPICO, LA LIBERTAD",LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.788628000000000,-89.358642000000000,"{'opening_hours': {'Sun': '07:45-21:00', 'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,SC3403,,Farmacias San Nicolás VERSAILLES,,https://www.farmaciasannicolas.com/sucursales
"29 Av. Norte y Calle al Volcan. #2127, Col Zacamil",SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.731051000000000,-89.202109000000000,"{'opening_hours': {'Sun': '09:00-21:00', 'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,SC4170,,Farmacias San Nicolás ZACAMIL,,https://www.farmaciasannicolas.com/sucursales
"Centro Comercial San Antonio #23 y 24 en Barrio Los Remedios, crr litoral en el KL 57",LA PAZ,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.503079400000000,-88.872489900000000,"{'opening_hours': {'Sun': '08:00-18:00', 'Mon': '07:45-20:00', 'Tue': '07:45-20:00', 'Wed': '07:45-20:00', 'Thu': '07:45-20:00', 'Fri': '07:45-20:00', 'Sat': '07:45-20:00'}}",,SC721,,Farmacias San Nicolás ZACATECOLUCA,,https://www.farmaciasannicolas.com/sucursales
"CC distrito zaragoza”, local #17, km20, carretera al puerto de la libertad Zaragoza, La libertad.",LA LIBERTAD,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.591918950000000,-89.286625120000000,"{'opening_hours': {'Sun': '09:00-21:00', 'Mon': '09:00-21:00', 'Tue': '09:00-21:00', 'Wed': '09:00-21:00', 'Thu': '09:00-21:00', 'Fri': '09:00-21:00', 'Sat': '09:00-21:00'}}",,SC1383,,Farmacias San Nicolás ZARAGOZA,,https://www.farmaciasannicolas.com/sucursales
"C.C ZARZAMORA, LOCAL 13A .SANTA ANA. ENTRE CALLE VALPARAISO y CALLE CAPITAN GUZMAN.",SANTA ANA,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.980355990000000,-89.554306680000000,"{'opening_hours': {'Sun': '07:45-20:00', 'Mon': '08:00-19:00', 'Tue': '08:00-19:00', 'Wed': '08:00-19:00', 'Thu': '08:00-19:00', 'Fri': '08:00-19:00', 'Sat': '08:00-20:00'}}",,SC4314,,Farmacias San Nicolás ZARZAMORA,,https://www.farmaciasannicolas.com/sucursales
Blvd. Del Hipódromo . CC  Basilea Local  14,SAN SALVADOR,El Salvador,Farmacias San Nicolás,"{'brand': 'Farmacias San Nicolás', 'fascia': 'Farmacias San Nicolás', 'category': 'Pharmacy', 'edit_date': '20250422', 'lat_lon_source': 'google'}",13.692886000000000,-89.236706000000000,"{'opening_hours': {'Sun': '09:00-21:30', 'Mon': '07:45-22:00', 'Tue': '07:45-22:00', 'Wed': '07:45-22:00', 'Thu': '07:45-22:00', 'Fri': '07:45-23:00', 'Sat': '07:45-23:00'}}",,SC371,,Farmacias San Nicolás ZONA ROSA,,https://www.farmaciasannicolas.com/sucursales
